path,title,keywords
/,Home,home,main
/services,Our Services,"services,solutions"
/services/web-development,Web Development,"web,development,frontend,backend"
/services/web-development/react,React Development,"react,javascript,frontend"
/services/web-development/nodejs,Node.js Development,"nodejs,backend,api"
/services/mobile-apps,Mobile App Development,"mobile,ios,android,apps"
/services/mobile-apps/ios,iOS Development,"ios,swift,apple"
/services/mobile-apps/android,Android Development,"android,kotlin,google"
/services/consulting,IT Consulting,"consulting,strategy,planning"
/about,About Us,"about,company,team"
/about/team,Our Team,"team,employees,people"
/about/history,Company History,"history,story,founded"
/about/careers,Careers,"jobs,careers,hiring"
/blog,Blog,"blog,articles,news"
/blog/tech,Tech Articles,"technology,tutorials"
/blog/news,Company News,"news,updates,announcements"
/contact,Contact Us,"contact,support,help"
/pricing,Pricing Plans,"pricing,plans,cost"
/faq,FAQ,"faq,questions,help"
